Roll;Pitch;COG_MAG;Ax;Ay;Az;T0;T1;Year;Month;Day;Hour;Min;Sec;Nanoseconds;Vn;Ve;Vd;H;AHor;AVert;ASpeed;AHeading;Time;GPSFlags;NbSat;Latitude;Longitude;Altitude_GPS;Vx;Vy;Vz;Accuracy;PosAccuracy;VelAccuracy;Status
1,559323;1,900384;-146;0,339139;-0,2888546;-9,817991;39,45236;49,89624;9;1;1;0;0;36;222145933;0;0;0;0;4294967295;3750000128;6227;18000000;550724000;12;0;461;-213;4;-0,02803896;0,2653008;-0,2895613;0,7273111;1,733031E+07;173,3867;1081343
1,58664;1,917693;-146;0,3465481;-0,3084736;-9,819983;39,44229;49,89624;9;1;1;0;0;36;802146266;0;0;0;0;4294967295;3750000128;6267;18000000;550724750;12;0;471;-223;4;-0,02297072;0,2641548;-0,294988;0,735893;1,733031E+07;173,3867;1081343
1,809058;2,233066;-146;0,3537331;-0,3279886;-9,797478;39,44229;49,89624;9;1;1;0;0;37;82146000;0;0;0;0;4294967295;3750000128;6287;18000000;550724750;12;0;475;-229;4;-0,01934132;0,2634832;-0,2992868;0,7388039;1,733031E+07;173,3867;1081343
1,872273;2,292675;-147;0,3759165;-0,3256216;-9,829168;39,46243;49,97253;9;1;1;0;0;37;342146066;0;0;0;0;4294967295;3750000128;6307;18000000;550725000;12;0;479;-234;4;-0,01667968;0,2624143;-0,3026579;0,7432225;1,733031E+07;173,3867;1081343
1,712304;2,02825;-147;0,4638424;-0,3255739;-9,862648;39,46243;49,97253;9;1;1;0;0;37;662146133;0;0;0;0;4294967295;3750000128;6346;18000000;550725500;12;0;484;-240;4;-0,0138513;0,2645548;-0,305714;0,7476875;1,733031E+07;173,3867;1081343
1,911783;2,290313;-147;0,4442501;-0,3231134;-9,85063;39,48257;49,97253;9;1;1;0;0;37;922145933;0;0;0;0;4294967295;3750000128;6366;18000000;550725750;12;0;488;-245;4;-0,008369478;0,2652014;-0,308156;0,7522079;1,733031E+07;173,3867;1081343
1,671053;1,965386;-147;0,4048786;-0,2495537;-9,840208;39,45236;49,97253;9;1;1;0;0;38;482146000;0;0;0;0;4294967295;3750000128;6405;18000000;550726250;12;0;496;-256;5;-0,003437846;0,2702818;-0,3122159;0,7598549;1,733031E+07;173,3867;1081343
1,687783;1,979139;-147;0,3488436;-0,276577;-9,820595;39,46243;49,89624;9;1;1;0;0;38;742146333;0;0;0;0;4294967295;3750000128;6425;18000000;550726500;12;0;500;-261;5;-0,002852973;0,272459;-0,3144909;0,7645073;1,733031E+07;173,3867;1081343
1,64892;1,943967;-147;0,3463078;-0,278985;-9,808321;39,46747;49,89624;9;1;1;0;0;39;22146000;0;0;0;0;4294967295;3750000128;6444;18000000;550726750;12;0;504;-267;5;-0,001283028;0,2748527;-0,316329;0,7692044;1,733031E+07;173,3867;1081343
1,626829;1,911822;-148;0,3416615;-0,2888908;-9,827767;39,48761;49,97253;9;1;1;0;0;39;522146066;0;0;0;0;4294967295;3750000128;6483;18000000;550727250;12;0;511;-278;5;0,001953733;0,275851;-0,320611;0,7771403;1,733031E+07;173,3867;1081343
1,690331;1,920802;-148;0,3366718;-0,286396;-9,815614;39,48761;49,97253;9;1;1;0;0;40;342146066;0;0;0;0;4294967295;3750000128;6540;18000000;550728250;12;0;523;-296;5;0,005868906;0,2821336;-0,330629;0,7901193;1,733031E+07;173,3867;1081343
1,68314;1,9358;-148;0,3292208;-0,2569647;-9,813818;39,51782;49,97253;9;1;1;0;0;40;682146133;0;0;0;0;4294967295;3750000128;6578;18000000;550728500;12;0;527;-303;5;0,006573216;0,285993;-0,3341252;0,7950795;1,733031E+07;173,3867;1081343
2,076068;2,487964;-148;0,322154;-0,4186668;-9,759223;39,49768;49,97253;9;1;1;0;0;40;942146200;0;0;0;0;4294967295;3750000128;6597;18000000;550728750;12;0;531;-309;5;0,006762904;0,2849098;-0,3383683;0,8000928;1,733031E+07;173,3867;1081343
1,742506;2,057888;-149;0,3465719;-0,3035889;-9,82498;39,49265;49,97253;9;1;1;0;0;41;742146133;0;0;0;0;4294967295;3750000128;6654;18000000;550729500;12;0;543;-328;6;0,007643965;0,2999814;-0,3460616;0,8137629;1,733031E+07;173,3867;1081343
1,705478;2,05169;-149;0,3583632;-0,283802;-9,793413;39,49265;49,97253;9;1;1;0;0;42;362146133;0;0;0;0;4294967295;3750000128;6710;18000000;550730250;12;0;552;-343;6;0,008632434;0,3052519;-0,3522281;0,8242987;1,733031E+07;173,3867;1081343
